"holder","holder_class","segment","licenses","mining_lics","hectares","main_commodities","lics_in_default_2025","lics_cancelled_2024"
"Nkuti Ventures Limited","organization","gemstones","2","0","4718","Manganese/Gold/Copper","0","0"
"ALDI Agro  and General Dealers Zambia Limited","organization","gemstones","2","0","1329","Quartz/Gold/Zinc","2","0"
"Grassburg Mining Limited","organization","critical_battery","2","0","8117","Manganese/Silver/Zinc","2","0"
"Prowave  Investments  Limited","organization","gold","2","0","298","Gold/Copper/Cobalt","2","0"
"Lumuno Enterprises Limited","organization","gemstones","2","0","1350","Iron Ore/Tourmaline/Gold","2","2"
"Alliance Minerals Limited","organization","gemstones","2","0","1754","Manganese/Silver/Zinc","2","1"
"Lulea Mining Engineering Limited","organization","industrial_minerals","2","0","1907","Limestone (General)/Kaolin/Silica","1","0"
"Hillington Mining Zambia Limited","organization","critical_battery","2","0","12955","Nickel/Manganese/Silver","0","0"
"Paradime Corporation Limited","organization","gemstones","2","0","6876","Gold/Iron Ore/Rare EarthsElements","0","0"
"Marengo Limited","organization","critical_battery","2","0","2179","Lithium/Limestone (General)/Lead","2","0"
"PRIMEQUEST MINERALS LIMITED","organization","gemstones","2","0","7205","Titanium/Nickel/Coal","2","0"
"Mara Benefit Logistics Limited","organization","gemstones","2","0","60","Nickel/Manganese/Zinc","0","0"
"Kabundi Minerals Limited","organization","gemstones","2","0","900","Iron Ore/Manganese/Copper","0","0"
"Hexagon Investments Limited","organization","gemstones","2","0","195","Emerald/Beryllium","1","0"
"Zambian Limo Tours & Travel Limited","organization","gemstones","2","0","233","Limestone (General)/Manganese/Quartz","2","0"
"Maretec Investments Limited","organization","critical_battery","2","0","1752","Gold/Copper/Cobalt","2","0"
"Alois Enterprise  Limited","organization","gemstones","2","0","227","Emerald","0","0"
"Hommies Investments Limited","organization","gemstones","2","0","6116","Gold/Manganese/Cobalt","2","0"
"Gotrays Mining Zambia Limited","organization","critical_battery","2","0","2410","Silver/Manganese/Zinc","1","0"
"Panda Mineral Resources Limited","organization","critical_battery","2","0","14046","Silver/Gold/Copper","1","0"
"Lukabu Westlake enterprises","organization","gemstones","2","0","1818","Iron Ore/Lead/Gold","0","0"
"Yang Mining Company Limited","organization","critical_battery","2","0","1601","Lead/Zinc/Gold","1","1"
"Anointed Mining and Drilling Company Limited","organization","gold","2","0","7557","Gold/Platinum/Cobalt","2","0"
"Qomolangma Resources Limited","organization","critical_battery","2","0","220","Tin/Zinc/Copper","2","0"
"AMPERSAND INVESTMENTS LIMITED","organization","gemstones","2","0","15717","Gold/Cobalt/Copper","1","0"
"AMADON INVESTMENT LIMITED","organization","base_metals","2","0","543","Limestone (General)/Sand/Feldspar","0","0"
"Gracious Green Farm Limited","organization","critical_battery","2","0","7959","Lead/Iron Ore/Zinc","0","0"
"Kainshen Investments Limited","organization","critical_battery","2","0","4419","Silver/Nickel/Gold","2","0"
"YUE ZAN MINING COMPANY LIMITED","organization","gemstones","2","0","12161","Gold/Copper/Platinum","0","0"
"Amoho Mining Limited","organization","gemstones","2","0","183","Gold/Rare EarthsElements/Cobalt","2","0"
"LUKANKO INVESTMENTS LIMITED","organization","gemstones","2","0","14174","Zinc/Copper/Gold","0","0"
"Amet Mining Zambia Limited","organization","critical_battery","2","0","4721","Quartz/Limestone (General)/Lead","2","0"
"Zhonghui Mining Group Limited","organization","gold","2","0","2558","Gold/Copper/Cobalt","0","0"
"Hamsa Resources Limited","organization","critical_battery","2","0","7691","Gold/Silver/Cobalt","0","0"
"Zimasi Resources Limited","organization","critical_battery","2","0","265","Iron Ore/Gold/Copper","1","0"
"HAMBURG EXPLORATION LIMITED","organization","gemstones","2","0","1764","Gold/Tin/Sugilite","0","0"
"Aeon Engineering Limited","organization","critical_battery","2","0","1064","Gold/Copper/Nickel","1","0"
"Pigeon Mineral Resources Limited","organization","gemstones","2","0","1352","Tourmaline/Garnet/Quartz","2","0"
"Manasa Mining Associates Limited","organization","gemstones","2","0","5474","Quartz/Nickel/Zinc","0","0"
"Zincom Mineral Resources Limited","organization","critical_battery","2","0","706","Manganese/Lead/Zinc","1","0"
"Makgowan Resources Limited","organization","critical_battery","2","0","1057","Granite/Iron Ore/Manganese","0","0"
"Plate Techtonics Zambia Limited","organization","gemstones","2","0","439","Lead/Limestone (General)/Anhydrite","0","0"
"Silgram Energy and Mining Suppliers Limited","organization","critical_battery","2","0","624","Gold/Copper/Cobalt","0","0"
"Abdahom Mining Limited","organization","critical_battery","2","0","12073","Iron Ore/Anhydrite/Manganese","0","2"
"Hanfu Mining Company Limited","organization","gemstones","2","0","6931","Gold/Silver/Copper","0","0"
"Abilene Mining Limited","organization","gemstones","2","0","15774","Iron Ore/Zinc/Gold","0","1"
"Maliot Goldhill Zambia Limited","organization","critical_battery","2","0","15091","Gold/Lead/Cobalt","1","2"
"Haizhou Mining Resources Co. Limited","organization","gold","2","0","1104","Iron Ore/Silver/Gold","1","0"
"Afrix Enterprises Limited","organization","gold","2","0","394","Iron Ore/Silver/Titanium","2","0"
"Zam-Kirin Mining Limited","organization","gemstones","2","0","1436","Quartz/Tourmaline/Aquamarine","2","0"
"Zamland Resources Management Limited","organization","gemstones","2","0","5162","Zinc/Silver/Aquamarine","2","0"
"SIMBARA MINING LIMITED","organization","gemstones","2","0","59","Aquamarine/Amethyst/Zinc","0","0"
"DINS Ventures Limited","organization","gemstones","2","0","7427","Coal/Lithium/Mica","0","0"
"Afwino Investment Limited","organization","gemstones","2","0","14279","Iron Ore/Lead/Tourmaline","0","0"
"SIMWAMI MINERAL RESOURCES LIMITED","organization","gold","2","0","2385","Gold/Iron Ore/Cobalt","0","0"
"Zamqlik Logistics Limited","organization","critical_battery","2","0","5062","Iron Ore/Nickel/Gold","1","0"
"Simba Venture Limited","organization","gemstones","2","0","398","Iron Ore/Zinc/Manganese","1","0"
"Mango Grove Investments Limited","organization","critical_battery","2","0","1159","Lead/Quartz/Zinc","2","2"
"Silondwa Safaris Limited","organization","gold","2","0","1816","Iron Ore/Gold/Copper","0","0"
"Zamtech Minerals Limited","organization","critical_battery","2","0","1340","Molybdenum/Silver/Tin","2","0"
"Headframe Resources (Z) Ltd","organization","critical_battery","2","0","15341","Rare EarthsElements/Nickel/Zinc","1","1"
"Africoin Investment Limited","organization","gemstones","2","0","1229","Copper/Gold/Aquamarine","2","0"
"Simba Ventures Limited","organization","critical_battery","2","0","1631","Lead/Manganese/Zinc","1","0"
"Kalundu Student Hostel Limited","organization","gemstones","2","0","6958","Zinc/Limestone (General)/Copper","1","0"
"Shimumu Investment Limited","organization","critical_battery","2","0","988","Quartz/Zinc/Manganese","2","0"
"Bangaram Mining Limited","organization","gemstones","2","0","1297","Iron Ore/Zinc/Manganese","2","0"
"Wamar Mining Consultancy Limited","organization","gemstones","2","0","2199","Aquamarine/Amethyst/Zinc","0","0"
"Baza Resources Limited","organization","critical_battery","2","0","690","Zinc/Manganese/Lead","1","0"
"Beagem Mining Limited","organization","gemstones","2","0","167","Quartz/Emerald","2","0"
"Batizateck Youth Investments Limited","organization","gemstones","2","0","89","Copper/Cobalt/Gold","0","0"
"REDSTONE MACHINERY COMPANY","organization","critical_battery","2","0","1883","Manganese/Rare EarthsElements/Zinc","2","0"
"Reality Real Estate Limited","organization","gemstones","2","0","127","Emerald/Beryllium","1","0"
"Liuzh Company Limited","organization","gemstones","2","0","7911","Copper/Gold/Aquamarine","2","0"
"Eastern Granites Limited","organization","gold","2","0","15082","Limestone (General)/Gold/Amazonite","1","1"
"MWILA  J. CIVILS LIMITED","organization","gemstones","2","0","976","Limestone (General)/Malachite/Manganese","0","0"
"WANHAO MINING ZAMBIA LIMITED","organization","gemstones","2","0","409","Copper/Tantalum/Quartz","0","0"
"Day Break Mining and Exploration Limited","organization","critical_battery","2","0","197","Malachite/Lead/Iron Ore","0","0"
"Litinta Resources Limited","organization","critical_battery","2","0","12237","Copper/Cobalt/Manganese","0","0"
"Glemo Investments Limited","organization","critical_battery","2","0","1359","Zinc/Malachite/Nickel","1","0"
"Sookol Enterprises Limited","organization","gemstones","2","0","406","Nickel/Gold/Zinc","2","0"
"Betamin Investments Limited","organization","gemstones","2","0","3056","Talc-Soapstone/Granite/Limestone (General)","1","0"
"Millenium Business systems Ltd","organization","critical_battery","2","0","3314","Manganese/Gold/Niobium (Columbium)","2","1"
"Vietnam Zambia Corporation Limited","organization","critical_battery","2","0","14468","Nickel/Quartz/Silver","2","0"
"BHASCORE MINING ZAMBIA LIMITED","organization","critical_battery","2","0","5208","Iron Ore/Copper/Gold","0","0"
"Chrizo General Dealers Limited","organization","critical_battery","2","0","12943","Copper/Cobalt/Limestone (General)","0","0"
"lianneng mining limited","organization","gemstones","2","0","5199","Gold/Anhydrite/Gypsum","0","0"
"Geonatics Investment Limited","organization","gemstones","2","0","3529","Tin/Tantalum/Quartz","0","0"
"RENES MINING LIMITED","organization","gemstones","2","0","631","Copper/Zinc/Tourmaline","0","0"
"LIGHTSTONE MINING COMPANY LIMITED","organization","critical_battery","2","0","517","Tantalum/Tin/Rare EarthsElements","0","0"
"Mijeko Mining Limited","organization","critical_battery","2","0","4729","Manganese/Nickel/Iron Ore","0","0"
"Vortexzam Import and Export Limited","organization","gemstones","2","0","401","Gold/Silver/Copper","2","0"
"Gesso Mining And Investments Limited","organization","gold","2","0","497","Gold/Copper/Cobalt","2","0"
"Kamamu Engineering Limited","organization","industrial_minerals","2","0","293","Limestone (General)/Marble/Dolomite","2","0"
"Bema Mining Services Limited","organization","gemstones","2","0","1526","Cobalt/Gold/Copper","1","0"
"Vista Cotlands Consultants Limited","organization","critical_battery","2","0","1074","Nickel/Silver/Zinc","1","2"
